Year,Base_Coeff,Base_Mean_Income,Base_Abs_Income_Gain,Base_PC_Income_Gain,M1_Coeff,M1_Mean_Income,M1_Abs_Income_Gain,M1_PC_Income_Gain,M2_Coeff,M2_Mean_Income,M2_Abs_Income_Gain,M2_PC_Income_Gain,M3_Coeff,M3_Mean_Income,M3_Abs_Income_Gain,M3_PC_Income_Gain,M4_Coeff,M4_Mean_Income,M4_Abs_Income_Gain,M4_PC_Income_Gain,M5_Coeff,M5_Mean_Income,M5_Abs_Income_Gain,M5_PC_Income_Gain,M6_Coeff,M6_Mean_Income,M6_Abs_Income_Gain,M6_PC_Income_Gain
1980,-0.07700254925758951,1270.2729895149826,444.26618965018156,0.3497407197643492,-0.07203399359360577,1270.2729895149826,411.40587924540273,0.3238720201415023,-0.04988956543782025,1270.2729895149826,272.4416902887392,0.2144749140834391,-0.10592855713467698,1090.3216620410694,488.79034295676934,0.4482992129513042,-0.07086590906166562,1270.2729895149826,403.77245697077933,0.3178627431296861,-0.0836577266316711,1270.2729895149826,489.28949042482395,0.3851845189683559,-0.11070278992007054,1090.3216620410694,515.3726473963306,0.4726794535399389
1981,-0.07663489662949752,1260.0772543139778,438.26664418724886,0.34780934477374864,-0.0718825009160199,1260.0772543139778,407.11976343145966,0.32309111368977717,-0.05069956409988205,1260.0772543139778,275.0904982551406,0.21831240688882025,-0.11641592648368705,1093.8819308957115,549.5600851810973,0.50239433494536,-0.07793823875145836,1260.0772543139778,446.9098792413447,0.3546686345708662,-0.0922980173365235,1260.0772543139778,545.1002526312925,0.4325927245850182,-0.12586806207936582,1093.8819308957115,604.7839731393374,0.5528786572460499
1982,-0.08023461501935111,1263.0801229904039,463.3472477204348,0.36683915714185855,-0.07596581997917054,1263.0801229904039,434.8805064091889,0.34430159931547977,-0.05712517984698632,1263.0801229904039,314.7438183601198,0.24918753183681527,-0.121884056066143,1088.6325084677758,578.4952757341041,0.5313962895966816,-0.08313424390376206,1263.0801229904039,482.9553197731866,0.382363169986213,-0.09882631581076319,1263.0801229904039,592.9982248158954,0.4694858338930575,-0.1338356999673494,1088.6325084677758,649.6410058002534,0.5967495924906814
1983,-0.08393810209056321,1229.8684270032434,475.5876493240951,0.3866979905183312,-0.08021353343043353,1229.8684270032434,451.0258742852102,0.36672693141997437,-0.061100519511787306,1229.8684270032434,330.4405538095384,0.2686795973897027,-0.1213566756765745,1054.605410137242,557.4379887180128,0.528574937469238,-0.08429099074806984,1229.8684270032434,477.93331554713245,0.388605240246461,-0.09989085006007141,1229.8684270032434,584.9146608703263,0.47559124864727,-0.13299497390781206,1054.605410137242,624.3923645348632,0.5920625463637698
1984,-0.08697400856569916,1213.8801723298602,489.42694401539643,0.403192139695317,-0.08269636147633412,1213.8801723298602,461.28367216884135,0.38000758450768396,-0.06267074635243206,1213.8801723298602,335.5921501197131,0.27646233769153217,-0.12481773474951721,1039.2464916527942,568.6611852982239,0.5471860524579092,-0.08598032975587824,1213.8801723298602,482.84751299478376,0.39777197453355767,-0.10003296650458243,1213.8801723298602,578.3025224777659,0.4764082449487591,-0.13474635794848724,1039.2464916527942,625.4622684300823,0.6018420783267319
1985,-0.08929659010038228,1213.6668106201234,504.8163539472614,0.41594311513662086,-0.08626359919828162,1213.6668106201234,484.63532818242743,0.3993149717382507,-0.06710360712581853,1213.6668106201234,362.5127668924506,0.2986921647031153,-0.12116114494112429,1032.1379023685338,544.4839333407592,0.5275302186764831,-0.084841048478802,1213.6668106201234,475.25172509812114,0.3915833579195357,-0.09968306604249288,1213.6668106201234,575.7605705777437,0.4743975575006114,-0.1317087784308873,1032.1379023685338,603.7166772760163,0.5849186197799895
1986,-0.09093167492563801,1208.8881046658328,513.7643515761429,0.4249891694634222,-0.08806099053465619,1208.8881046658328,494.6109033844991,0.4091453141738226,-0.06884097723097593,1208.8881046658328,371.7450898170239,0.30750992451843473,-0.12013185964337088,1027.8689820228715,536.5913118279643,0.5220425182710927,-0.0853128280948402,1208.8881046658328,476.47448295857316,0.39414275078029887,-0.09960683668753141,1208.8881046658328,572.9644517115005,0.47395987229925,-0.13058983837171337,1027.8689820228715,594.8583702993596,0.578729760994114
1987,-0.09271536423014469,1202.4541392484293,522.9753176370261,0.43492329608836616,-0.08988159505477337,1202.4541392484293,504.0363326800323,0.41917301976694965,-0.06750927959012948,1202.4541392484293,361.6329812357558,0.3007457577232737,-0.11795045686913078,1019.8147008146524,520.5922640021837,0.5104773088545617,-0.08334809213817272,1202.4541392484293,461.1592304447588,0.3835150259726308,-0.09624218299801784,1202.4541392484293,546.8400226198025,0.4547699615068848,-0.1263309345751037,1019.8147008146524,566.398961880251,0.5553939960149603
1988,-0.09201156367863962,1218.4026067030484,525.1257791254402,0.43099528533217013,-0.08937143203982871,1218.4026067030484,507.2891368758412,0.41635591887688633,-0.06627549880304767,1218.4026067030484,358.8319683431082,0.2945101778090364,-0.11526665630919233,1033.8308210647804,513.1615901978953,0.49636901874271006,-0.0812032892200173,1218.4026067030484,453.25277417166694,0.3720057489027801,-0.0923986271208591,1218.4026067030484,527.7562170852611,0.4331542087827189,-0.12274304725283482,1033.8308210647804,554.1362445354159,0.5360028287458973
1989,-0.0940155831751841,1223.39280238837,540.9945539960777,0.44220838388121986,-0.09122033268082383,1223.39280238837,521.8897667022629,0.4265921506840673,-0.06766911845879207,1223.39280238837,368.921176540322,0.3015557847161559,-0.11581018771661555,1036.8562197781469,517.6147904603658,0.49921559092457235,-0.08085116884771691,1223.39280238837,452.80874846402253,0.37012539846566544,-0.0911390028160203,1223.39280238837,521.3370068357622,0.4261403253460225,-0.1213322049815558,1036.8562197781469,547.9206054767362,0.5284441516818728
